EDCS-ID,inscription,Comment
EDCS-74800001,"D(is) M(anibus) / P(ublio) Ae(lio) C(ai) f(ilio) / Nova[3]n(o) / dec(urioni) mun(icipii) / Balo[ens]ium [3] / [3]mo  

 http://www.davidpublisher.org/Public/uploads/Contribute/58f06e0c7de29.pdf",NA
EDCS-63800143,"[3 Cl]odi Lunens(is) s(ervus)  

 https://journals.openedition.org/cefr/1188?lang=en#tocto2n6",NA
EDCS-74800477,"veniam(?)] dedit omnibus unam / [3 sol]vere qui potuit / [3] annus culminis huius / [3 don]et in arce poli / [3]oq(ue) sophismate pollens / [3 prae]sulis officio / [  

 http://in-scription.edel.univ-poitiers.fr/index.php?id=331",NA
EDCS-11202315,"Mercurio Gebri/nio ex imp(erio) ips(ius) C(aius) Ana/illius Atto et Anail/lius Attonius pro / se et suis l(ibentes) m(erito)  

 http://gams.uni-graz.at/o:fercan.5",NA
EDCS-47600192,"Ma[tronis] / Ar[sacis(?)] / Suc[cessus(?)] / Cri[spi f(ilius?) 3]  

 http://gams.uni-graz.at/o:fercan.126",NA
EDCS-26400641,"Olu(s) an(norum) XII / et Fuscinus an(norum) / XVI Fusci fili(i) / h(ic) s(iti) s(unt)  
10.5169/seals-395629 ;  
DOI:  10.5169/seals-395642",DOI:
EDCS-05501726,"S(exti) Arqui Cim(bri?) l(iberti) Saur(i) v(otum) s(olvit) l(ibens) m(erito)  

 https://estudogeral.sib.uc.pt/bitstream/10316/83846/1/Uma pátera envolta em mistério.pdf",NA
EDCS-75800002,"Noniu/s [3]ull/[3]reo  

10.15304/gall.37.5131",DOI:
EDCS-05501795,"Agathopodi / T(iti) Satri / Zethus / conservus  

10.19272/201813701012",DOI:
EDCS-74300443,"D(is) M(anibus) s(acrum) / Avitianu/s fatum / funt / IIII K(alendas) Novem/brs annoru(m) / XXV utere fe/lix  

 http://hdl.handle.net/10316/88669",NA
EDCS-75600022,"I(unio?) Masclo / Cl(audia) Thaum/aste mari/to et Iu(nius?) Vi/rilis fra/tri fecer(unt)  

10.15581/012.27.006",DOI:
EDCS-74300387,"Nero Claudius divi / Claudi f(ilius) Caesar Aug(ustus) / Ger(manicus) po[nt(ifex)] max(imus) trib(unicia) / potestate VIII / imp(erator) IX co(n)[s(ul)] IIII] / [a Pis]oraca m(ilia) / CLXXX  

 http://www.viasromanas.net/pdf/27_Via_romana_Castro_Urdiales_a_Osma_de_Alava.pdf",NA
EDCS-75600023,"M(arcus) C() P()  

10.15581/012.27.010",DOI:
EDCS-75600024,"T(itus) T() Urb()  

10.15581/012.27.010",DOI:
EDCS-75600025,"T(itus) T() Urb()  

10.15581/012.27.010",DOI:
EDCS-75600026,"APO[3]  

10.15581/012.27.010",DOI:
EDCS-75600027,"P(lena) p(ondo) LX / t(esta) p(ondo) XXII  

10.15581/012.27.010",DOI:
EDCS-75600029,"C(aius) Rest(ius)  

10.15581/012.27.010",DOI:
EDCS-75600030,"L(ucius) Raecla()  

10.15581/012.27.010",DOI:
EDCS-75600032,"[3]rini Materni  

10.15581/012.27.010",DOI:
EDCS-75600031,"N(umerius) Sabia()  

10.15581/012.27.010",DOI:
EDCS-46200052,"Nym(is) et / Bonis / et loco s(acrum)  

10.21630/maa.2019.70.02",DOI:
EDCS-05600953,"G(aio!) Iulio [3] / Pomp[3] / praef(ecto) coho[rtis 3] / trib(uno) mil(itum) l[eg(ionis)  
 http://www.raco.cat/index.php/Empuries/article/view/118172/288229",NA
EDCS-22400498,"D(is) M(anibus) / p(osuit?) ux(or?) / M(anio) Reso (H)ero/p(h)il(i) fil(io) P(h)il/tate Octav(a)e / sorori sua/e an(norum) L  
10.7203/SAGVNTVM.50.12750",DOI:
EDCS-74200339,"I(ovi) O(ptimo) M(aximo) / Conser/vatori B/atheneu(s)  

 http://hdl.handle.net/10316/88669",NA
EDCS-21700638,"Iovi / O(ptimo) M(aximo) / vicani / Zabr[3]  
 http://hdl.handle.net/10316/81370",NA
EDCS-05601162,"P(rovincia) H(ispania) c(iterior) / L(ucio) Fabio L(uci) f(ilio) / Quir(ina) Siloni / Brigiaecino / IIviro sacerdoti / Rom(ae) et Aug(ustorum) / convent(us) Asturum / adlecto in dec(urias) V / iud(icum) Rom(ae) / flamini / p(rovinciae) H(ispaniae) c(iterioris)  

10.15581/012.26.003",DOI:
EDCS-11701053,"Dulcitius  

10.15581/012.27.001",DOI:
EDCS-24600579,"] quicumque es [3] / [3] parce sepult[o(?)  


comment
http://ceres.mcu.es/pages/ResultSearch?txtSimpleSearch=Colonia%3Cb%3E%20Celsa,%3C/b%3E%20calle%20IX&simpleSearch=0&hipertextSearch=1&search=simple&MuseumsSearch=&MuseumsRolSearch=1&listaMuseos=null",NA
EDCS-34000073,"L(uci) Balabi Eutacti [3]  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1071/",NA
EDCS-34000076,"P(ubli) Octa(vi) Lutati Quintilian(i) c(larissimi) v(iri)  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1075/",NA
EDCS-34100583,"Q(uinti) Pomponi Materni  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1073/",NA
EDCS-08900859,"Saecul(aris?)  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1069/",NA
EDCS-34100585,"Ulpiae Marcianae  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1076/",NA
EDCS-71200588,"Neptuno / sacrum / capi salinar(um) / Romanar(um) / L(ucius) Virtius / Epaphroditus et / L(ucius) Cornelius / Hesper / conductores / dedicatu / Pontiano et / Atiliano co(n)s(ulibus)  

10.4000/books.efr.3642",DOI:
EDCS-05700137,"Thermas maritimas intresecus refectione cellarum fori/s soli adiectione ddd(omini) nnn(ostri) Valens Gratianus et Valentinianus victo/r(es) ac triumf(atores) semper Au[ggg(usti) Fl(avio?)] / Proculo Gregorio v(iro) c(larissimo) praefecto annon(ae) urbis Romanae curante decorarunt  

 https://hal.archives-ouvertes.fr/hal-02044153",NA
EDCS-12000201,"Colonorum coloniae Ostiense(!) // L(ucius) Caecilius Maximus fec(it)  

 https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=881918&partId=1",NA
EDCS-29300433,"Propero vale mea Sava / fac me ames  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR161742",NA
EDCS-29300434,"Tertiani hic (h)abitant Cresce(n)s verpa va(le)  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR161769",NA
EDCS-29300435,"Miccio ciocio [t]u tuo patri cacanti confregisti peram / Miccionis statum co(n)siderate  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR161789",NA
EDCS-29300437,"Faustus  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR161910",NA
EDCS-29300438,"M(arcus) Aquis() Faustus 

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140131",NA
EDCS-29300444,http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR162634,NA
EDCS-26000667,"Rufini cubiculum s(alutem)  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163892",NA
EDCS-26000668,"Hic iudices  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168479",NA
EDCS-26000669,"Ti(berius) Comnis / Olithus  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168480",NA
EDCS-26000670,"VI K(alendas) Fe(bruarias) / VII SI CIIII 

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168481",NA
EDCS-26000671,"S(exto) Burrenio s(alutem)  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168483",NA
EDCS-26000684,"Daphnicus cum Felicla sua hic  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163599",NA
EDCS-26000695,"(L)ocus {t}Rr(u)finae  

 http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168486",NA
EDCS-34000074,"Egnati Certi et fil(ii) cl(arissimi) vir(i)  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1079/",NA
EDCS-16900125,"L(uci) Acili Strabonis  

https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1077/","Tubus,"
EDCS-34000075,"P(ubli) Manli Modesti  

 https://library.brown.edu/projects/usep/inscription/MI.AA.UM.KM.L.1070/",NA
EDCS-78700100,"Vivas feliciter  

 https://www.inrap.fr/tombes-d-aristocrates-eduens-et-necropole-de-l-antiquite-tardive-autun-saone-et-15335",NA
EDCS-75700037,"?

 http://hdl.handle.net/10316/88692",NA
EDCS-74800067,http://hdl.handle.net/10316/87152,NA
EDCS-74300389,"] / f(ili) / [3]A / f(aciendum) c(uravit)  
 http://caceresaldetalle.blogspot.com.es/2016/10/y-tu-de-quien-eres-una-lapida-romana-en.html",NA
EDCS-05500406,"Pietati sacrum / Iulia Modesta ex patrimonio suo / in honorem gentis Sex(ti) Aponi / Scaevi Flacci mariti sui flaminis / provinc(iae) Lusit(aniae) et in honorem / gentis Iuliorum parentum suorum  

 http://hdl.handle.net/10316/81364",NA
EDCS-05500407,"Has portas et porticus refecit et donavit / splendidissimae civitati Iulia Modesta / flaminica provinc(iae) Lusit(aniae) ex patrimonio suo  
 http://hdl.handle.net/10316/81364",NA
EDCS-74300386,"Imp(erator) C[aes(ar) d]ivi / Vespa[siani] f(ilius) / Domi[tianu]s / Augu(stus) [Germa]nic[us] / pont[if(ex)] [max(imus) t]rib(unicia) / potes[t(ate) 3 p(ater) p(atriae) i]mp(erator) / XIIII c[ensor p]er/petu(us) c[o(n)s(ul) X]III(?) vi/[as et pontes  

 https://dialnet.unirioja.es/descarga/articulo/5551547.pdf",NA
EDCS-24600018,"I(ovi) O(ptimo) M(aximo) / caste/l(l)ani / [ // C(astellani) v(otum) p(osuerunt) / l(ibentes) a(nimo)  

 http://hdl.handle.net/10316/88722",NA
EDCS-22900007,"D(is) M(anibus) s(acrum) / Celer Ruf(i)/ni an(norum) LXXV / s(epultus) est XV K(alendas) Fe/bruarias  

 http://hdl.handle.net/10316/88669",NA
EDCS-05500008,"I(ovi) O(ptimo) M(aximo) / in memoriam / L(uci) Atili Maximi / Severiani fil(ii) / pientissimi / L(ucius) Atil(ius) Atilianus / et Artullia / G(ai!) f(ilia) Severa ex / [ar]genti lib(ris) / [3] posuerunt  

  https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-05500009,"[D(is)] M(anibus) / [T]rophime / [  
 http://hdl.handle.net/10316/81371",NA
EDCS-05600460,"D(is) M(anibus) s(acrum) / et Patriciae / vixit ann(is) / XXV mens(ibus) / VII dieb(us) VIIII / s(it) t(i)b(i) t(e)r(ra) (e)(i)s  

 http://hdl.handle.net/10316/88719",NA
EDCS-11901232,"Imp(eratori) Caes(ari) / L(ucio) Domitio / Aureliano / Pio Fel(ici) Aug(usto) / p(ontifici) m(aximo) t(ribunicia) p(otestate) p(atri) p(atriae) / II co(n)s(uli) proc(onsuli) / r(es) p(ublica) Ossonob(ensis) / ex decreto / ordin(is) / d(evota) N(umini) m(aiestatique) eius / d(edit) d(edicavitque)  

  https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-11901234,"M(arco) Cornelio / Q(uinti) f(ilio) Gal(eria) Persae / flamini / provinciae Lsitani(ae) / civitas Ossonob(ensis) / patrono  

  https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-14700014,"Andamu[s] / Arconis situs / hoc mar(m)orem / h(ic) e(st) s(itus) annorum{u}/{m} XXX cum / bona fama sua sa[n]/ctusque fuit MIS[3] / [3]E nomine A[3] / aeque merenti [3]/ntina pia norus  

 http://hdl.handle.net/10316/88719",NA
EDCS-11901262,"C(aius) Iulius / Arenius h(ic) e(st) s(itus) / Arbura Bolbi [f(ilia)] / Areni uxor h(ic) s(ita) [e(st)] / [I]ulia Amoena / Areni f(ilia) h(ic) s(ita) e(st)  

  https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-05600549,"Caturo / et Virius / Copori / Cel(i) f(ilii) et Bo/utia Meid(ubrigensis?) / h(eredes) ex t(estamento) f(aciendum) c(uraverunt)  

 http://hdl.handle.net/10316/88669",NA
EDCS-05600553,"[D(is)] M(anibus) s(acrum) / [ob h]onorem / [et pie]tatem / [3]ae Avitae / [3]a Avita fec(it)  

 http://hdl.handle.net/10316/87152",NA
EDCS-05600453,"D(ianae?) S(anctae?) s(acrum) / Fonteius / Philomu/sus ex vo/t animo / libens / posuit  

 http://hdl.handle.net/10316/81371 ;  
 http://hdl.handle.net/10316/81363",NA
EDCS-05600454,"]/sus ex vo/to animo / libens / posuit  
 http://hdl.handle.net/10316/81371",NA
EDCS-75700026,"N  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700025,"O  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700027,"?  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700028,"SII  

 http://hdl.handle.net/10316/88692",NA
EDCS-74300383,"[Imperato]r Caesar [  

 http://hdl.handle.net/2072/257901",NA
EDCS-74200374,"[Rubur]rus(?) Tongetami f(ilius) I(ovi) O(ptimo) M(aximo) v(otum) s(olvit) l(ibens) m(erito)  

 http://hdl.handle.net/10316/87152",NA
EDCS-74200372,"Libero / Patri et / Liberae / L(ucius) Marcius / Maternus / vet(eranus) v(otum) s(olvit) l(ibens) m(erito)  

 http://hdl.handle.net/10316/88720",NA
EDCS-05500132,"D(is) M(anibus) s(acrum) / Memoriae C(ai) f(iliae) Calchisiae flam(inicae) / prov(inciae) Lusit(aniae) II fil(iae) piissim(ae) et Mar(iae) L(uci) f(iliae) / Sidoniae nept(i) dulc(i)s(simae) et Apon(io) Lu/piano mar(ito) merent(i) fabric(am) qua(m) miser(a) ma/ter Iun(ia) Leonica karis suis et sibi // [In] nomine d(omi)ni / [fam]uli Chr(ist)i / [Si]senandus // [et I]esabille / fecerunt  

  https://estudogeral.sib.uc.pt/handle/10316/91119",NA
EDCS-75700029,"?  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700030,"?  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700031,"Y  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700032,"O  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700033,"X  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700034,"?  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700035,"XX  

 http://hdl.handle.net/10316/88692",NA
EDCS-75700036,"SII  

 http://hdl.handle.net/10316/88692",NA
EDCS-05600554,"Dibus(!) M(anibus) / f(ilio) par(entes) p(osuerunt?) // fi(lio) Ton / a(nnorum) XVI  

 http://hdl.handle.net/10316/81370",NA
EDCS-05500437,"Vegetus / Mari f(ilius) / h(ic) s(itus) e(st) / Sailcius / Lauci f(ilius) /  vivus / [de suo] / [f(aciendum) c(uravit)]  
 http://hdl.handle.net/11222.digilib/138107",NA
EDCS-11901252,"D(is) M(anibus) s(acrum) / Diony/sianus / vix(i)t / ann(os) / XXXVIIII d(ic) v(iator) / d(ic) v(iator) d(ei) i(nferi) n(e) i(nvideant) t(ibi) l(ocum) t(itulum) t(erram) l(evem) b(oni) l(ibentes) // D(is) M(anibus) s(acrum) / Maritim/a vix(i)t / ann(os) / XXV d(ic) v(iator) d(ei) i(nferi) n(e) i(nvideant) t(ibi) l(ocum) t(itulum) t(erram) l(evem) b(oni) l(ibentes)  

 http://hdl.handle.net/10316/88719  -   https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-05500372,"]minus viola/re noli 

10.12795/Habis",DOI:
EDCS-05500948,"L(ucio) Vibio Quiri(na) / Reburro / Valeria Tagana / Duelonis filia / testamento poni iussit  

 https://impactum-journals.uc.pt/bec/article/view/65_4/6912",NA
EDCS-05600340,"T(ito) Manlio / T(iti) f(ilio) Quir(ina) Fau/stino Bals(ensi) / Manlia T(iti) f(ilia) / Faustina / soror fra/tri piissimo / IIvir(o) II / d(ecreto) d(ecurionum) / epulo dato  

  https://estudogeral.sib.uc.pt/handle/10316/91118",NA
EDCS-11901376,"D(is) M(anibus) / L(ucius) [3]S / La[3] an(norum) LX / h(ic) s(itus) e(st)  

 http://hdl.handle.net/10316/88670",NA
EDCS-75700191,"Ex off(icina) Enc() // MEM MF  

 http://hdl.handle.net/10316/88669",NA
EDCS-75700192,"Ex o(fficina) / Lucret(i)  

 http://hdl.handle.net/10316/88669",NA
EDCS-75700193,"O(fficina) Arantoni  

 http://hdl.handle.net/10316/88669",NA
EDCS-31500016,"Moderatus / Luccei / sp(ectavit) III Non(as) Oct(obres) / L(ucio) Minic(io) L(ucio) Plotio

 https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=357563001&objectId=399735&partId=1",NA
EDCS-74400212,"Imp(eratoris) Caesaris Traiani Hadriani Aug(usti) CCR
 https://www.acsearch.info/search.html?id=5281865",NA
EDCS-74900035,"D(is) M(anibus) s(acrum) / Turius(?) / Felix / pius vix(it) / an{i}nis XVIIII

 http://atharproject.org/wp-content/uploads/2019/06/ATHAR-FB-Report-June-2019-final.pdf [p 5]",NA
EDCS-74900059,"F<au=O>st<i=E>na

 http://atharproject.org/wp-content/uploads/2019/06/ATHAR-FB-Report-June-2019-final.pdf [p 22]",NA
EDCS-38600020,"Bona pulch[ra Proserpin]a Plutonis ux{s}or / s{e}ive me S[al]via[m dicer]e oportet eripias / salutem c[o]rpus colorem vires virtutes / Maximae Vesoniae tra[das] Pluton[i] / viro [tuo] n poss[it co]gitationibus su[is hoc] / quicq[uid vitare pro]tinu[s] tra[das illam] / febri qu[artanae terti]anae [cottidianae] / qua cum illa luc[tent(ur) deluctent(ur) illam] / ev[i]ncant vincan[t u]sque dum anima[m] / e[ius] eripiant qu[ar]e hanc victima[m] / tibi trad[o] P[roserpina si]ve me Pros[erpina] / s{e}ive me [Acherousiam] dicere oporte[t mi(hi)] / mitta[s arcessitu]m canem tr[ic]p[item] / qui [Maximae Vesonia]e cor er[ip]iat / polli[cearus illi te da]turum tres victimas / palm[as caricas porc]um nigrum / hoc s{e}i [p]erf[ecerit an]te mensem Martium / ha[e]c [Salvi]a ti[bi dabo] cum compote[m] / fe[cer]is do tibi ca[put] Max[i]mae Vesoniae / P[roser]pina S[a]lvi[a] do tibi frontem / Ma[x]imae [Vesoni]ae Proserpina S[alvia] / do tibi super[cilia V]esoniaes(!) Proserpina / Salvia do tibi palperas Maximae Vesoni[ae] / Proserpina Salvia do tibi pupillas Maximae Vesoniae / Proserpina Salvia do tibi ric(u)las labra{s} / nares nasum lingua(m) dentes Maximae / Vesoniae ne{i} dicere possit Maxima / Vesonia quid sibi doleat collum / umeros bra[cchia] digitos n possit aliqui / se [adi]utar[e pec[tus ioc]inera cor / pulmone[s ne possi]t sentire qui sibi / doleat intestina vent{e}r(em) umbi[licum] / scapula latera n[e possit dormire] / visc[(re)m sacrum] n[e possit u]rina[m] / face[re nates anum femina] / genua [ti]bia[s crur]a pedes / talos [plantas digito]s ung(u)s n / possit sta[re sua vir]tute s{e}ive plus / s{e}ive par[vum script]um fuerit / quomod[o quicquid legitime] scripsit / man[davit sic ego M]ax[im]am / Veso[niam Proserpina tibi] / trado m[ando ut tradas illa]{c} / mens Februar[io male] male / male perat [male e]xe(a)t / male disp[e]rat tr[a]das / n possit [a]mpliu[s] ullum / [m]ensem aspi[c]ere vid[e]re / contemplar[i]  

 https://usepigraphy.brown.edu/projects/usep/inscription/MD.Balt.JHU.L.Tmp97.6.3/",NA
EDCS-38600021,"[Bona pulchra Proserpina Plutonis uxor] s{e}ive me / [Salviam d{e}icere oportet eripias salutem] c[o]rpus / [colorem vires v]irtutes 3]i tra[d]as / [Plutoni viro tuo ne possit cogitationib]us su[i]s hoc / [quidquid] vitare protinus tradas illam febri quar]tan[a]e / [tertianae cottidianae qua] cu[m illo l]uctent(ur) / deluctent(ur) illunc e]vin[cant vinca]nt usque / [dum animam eiu]s [er]ipia[nt qua]re hanc / [victimam tibi] tra[do Proserpina] s{e}ive me / [Proserpina sive me Acherousiam] dicere / [oportet mi(hi) mittas arcessitum ca]nem / [tricipitem qui 3 cor eri]pia[t po]llicarus / [illi te daturum tres victimas pa]lmas / [caricas porcum nigrum hoc si per]fecerit / [ante mensem Martium haec Proserp]ina tibi / [dabo cum compotem fece]ris do tibi / [caput 3 Proserpina Sa]lvia do tibi / [caput 3 Proserpina Salvi]a do tibi / [frontem 3 Proserpina Sa]lvia / [supercilia 3 Proserpina Sa]lvia do tibi / [palpebras 3 Proserpina Salvia] do tibi pupillas / [3] quid [sibi do]leat / [collum umeros br]acc[hia] dig[itos ne] possit / [aliquid se adiutare p]ect[us ioci]nera / [cor pulmones ne possit] sen[tire] qui / [sibi doleat intestina ve]nt{e}r(em) umblicu / [latera ne possit dormire s]cap[ul]as n / [possit sanus dormire visce](re)m sacrum / [ne possit urinam] f[acere nates a]num / [femina gen]u[a crura tibi]as pedes / [talos plantas digitos ungues] n / [possit stare sua vir]tu[te si]ve [plus sive parvum script]um / [fuerit quomodo quic]q[ui] legitime / [scripsit mandavit] s{e}ic ego [3 Proserpina] tibi trado / [mando ut tradas i]llun[c] m[e]ns / [Februari]o mal[e p]erat male / [exeat male dispe]r[a]t mandes tradas / [ne possit amplius ullu]m m[ense]m aspicere / [videre contemplari]  

 https://usepigraphy.brown.edu/projects/usep/inscription/MD.Balt.JHU.L.Tmp97.6.4/",NA
